step,node,node_path,node_size,bit_offset,op_type,local_index,operand_a,operand_b,g_bit,destination,expression,comment
100,NRRL,RRL,2,12,PARTIAL,0,u12,-,-,p_NRRL_0,p_NRRL_0 = u12,Partial sum used as g-control bit.
101,NRRL,RRL,2,12,G,0,llr_NRR_L0,llr_NRR_L1,p_NRRL_0,llr_NRRL_R0,"llr_NRRL_R0 = g(llr_NRR_L0, llr_NRR_L1, p_NRRL_0)",Compute right-branch LLR.
102,NRRLR,RRLR,1,13,DECISION,0,llr_NRRL_R0,-,-,u13,u13 = 0 if frozen13=1 else hard_decision(llr_NRRL_R0),Leaf hard decision with frozen-mask control.
103,NRR,RR,4,12,PARTIAL,0,u12 ^ u13,-,-,p_NRR_0,p_NRR_0 = u12 ^ u13,Partial sum used as g-control bit.
104,NRR,RR,4,12,PARTIAL,1,u13,-,-,p_NRR_1,p_NRR_1 = u13,Partial sum used as g-control bit.
105,NRR,RR,4,12,G,0,llr_NR_R0,llr_NR_R2,p_NRR_0,llr_NRR_R0,"llr_NRR_R0 = g(llr_NR_R0, llr_NR_R2, p_NRR_0)",Compute right-branch LLR.
106,NRR,RR,4,12,G,1,llr_NR_R1,llr_NR_R3,p_NRR_1,llr_NRR_R1,"llr_NRR_R1 = g(llr_NR_R1, llr_NR_R3, p_NRR_1)",Compute right-branch LLR.
107,NRRR,RRR,2,14,F,0,llr_NRR_R0,llr_NRR_R1,-,llr_NRRR_L0,"llr_NRRR_L0 = f(llr_NRR_R0, llr_NRR_R1)",Compute left-branch LLR.
108,NRRRL,RRRL,1,14,DECISION,0,llr_NRRR_L0,-,-,u14,u14 = 0 if frozen14=1 else hard_decision(llr_NRRR_L0),Leaf hard decision with frozen-mask control.
109,NRRR,RRR,2,14,PARTIAL,0,u14,-,-,p_NRRR_0,p_NRRR_0 = u14,Partial sum used as g-control bit.
110,NRRR,RRR,2,14,G,0,llr_NRR_R0,llr_NRR_R1,p_NRRR_0,llr_NRRR_R0,"llr_NRRR_R0 = g(llr_NRR_R0, llr_NRR_R1, p_NRRR_0)",Compute right-branch LLR.
111,NRRRR,RRRR,1,15,DECISION,0,llr_NRRR_R0,-,-,u15,u15 = 0 if frozen15=1 else hard_decision(llr_NRRR_R0),Leaf hard decision with frozen-mask control.
